City Zip,City Name,Average # of Mentions of Solar,Average # of Mentions of Wind,Average # of Mentions of Geothermal,Average # of Mentions of Hydropower,Average # of Mentions of Biomass
83701,Boise,2.96,5.86,2.56,0.4,0.5
83301,Twin  Falls,0.7307,6.15,0.8846,0.3,0.3846
83401,Idaho Falls,0.96,7.22,0.52,0.14,0.125
83440,Rexburg,0.055,2.388,0.22,0.1666,0
83814,Couer d'Alene,0.5454,0.3636,0,0,0
83333,Hailey,0.7777,1.44,1,0,0.444
83353,Sun Valley,7.25,0.875,0.375,0.25,0.375
83651,Nampa,3.4,1,0.8,0.133,0.466
83642,Meridian,1.25,3.375,0.208,0,0.125
83501,Lewiston,5.667,6.025,0.153,0.0512,1.07
