Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,0,,,1
0,2,Undirected,1,,,1
0,3,Undirected,2,,,1
0,4,Undirected,3,,,1
0,5,Undirected,4,,,1
0,6,Undirected,5,,,1
0,7,Undirected,6,,,1
8,5,Undirected,7,,,1
8,6,Undirected,8,,,1
8,1,Undirected,9,,,1
8,9,Undirected,10,,,1
10,11,Undirected,11,,,1
10,9,Undirected,12,,,1
10,5,Undirected,13,,,1
10,1,Undirected,14,,,1
11,9,Undirected,15,,,1
11,5,Undirected,16,,,1
11,1,Undirected,17,,,1
9,5,Undirected,18,,,1
7,4,Undirected,19,,,1
7,2,Undirected,20,,,1
7,3,Undirected,21,,,1
6,2,Undirected,22,,,1
1,4,Undirected,23,,,1
4,2,Undirected,24,,,1
4,3,Undirected,25,,,1
3,2,Undirected,26,,,1
12,7,Undirected,27,,,1
12,4,Undirected,28,,,1
12,2,Undirected,29,,,1
